,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_loc_가방점,crm_loc_강(해)변,crm_loc_검문소,crm_loc_고속도로,crm_loc_고속도로휴게소,crm_loc_고속버스,crm_loc_공사장,crm_loc_공원,crm_loc_공장,crm_loc_공지,crm_loc_공판장,crm_loc_관공서,crm_loc_교량,crm_loc_기숙사,crm_loc_기타,crm_loc_기타가옥(공가.해상가옥),crm_loc_기타교통수단내,crm_loc_노상,crm_loc_노상판매점,crm_loc_대중식당,crm_loc_대형할인매장,crm_loc_병원,crm_loc_사무실,crm_loc_산중,crm_loc_상가아파트,crm_loc_상점,crm_loc_숙박업소목욕탕,crm_loc_슈퍼마켓,crm_loc_승용차,crm_loc_승합차,"crm_loc_시장,노점",crm_loc_시장및상가부근,crm_loc_식품점,crm_loc_신발판매점,crm_loc_아파트,crm_loc_야산,crm_loc_연립가옥,crm_loc_오토바이,crm_loc_오피스텔,crm_loc_일반주택,crm_loc_전답,crm_loc_정류장,crm_loc_종교기관,crm_loc_주유소,crm_loc_주차장,crm_loc_주택,crm_loc_지하도,crm_loc_지하철,crm_loc_차량부속품점,crm_loc_차안,crm_loc_창고,crm_loc_철로,crm_loc_터널,crm_loc_톨게이트,crm_loc_편의점,crm_loc_포장마차,crm_loc_학교,crm_loc_학원,crm_loc_호텔,crm_loc_회사,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_교통
0,경기수원남부경찰서,2017,17.0,0.0,4950.0,322.0,0.0,93.0,0.0,77.0,1.0,0.0,47.0,4.0,1.0,154.0,0.0,3023.0,0.0,37.0,0.0,461.0,0.0,0.0,0.0,1807.0,1.0,19.0,1333.0,526.0,3648.0,16.0,39.0,896.0,785.0,123.0,3648.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,5399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,1331.0,709.0,701.0,1800.0,69.0
1,경기수원서부경찰서,2017,10.0,0.0,1788.0,133.0,0.0,28.0,1.0,7.0,0.0,0.0,24.0,3.0,0.0,126.0,0.0,1209.0,0.0,19.0,1.0,263.0,0.0,2.0,0.0,351.0,0.0,17.0,372.0,120.0,1499.0,8.0,11.0,214.0,212.0,47.0,1499.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,262.0,372.0,384.0,798.0,66.4
2,경기수원중부경찰서,2017,7.0,0.0,2370.0,458.0,0.0,51.0,0.0,85.0,0.0,0.0,28.0,9.0,2.0,331.0,0.0,1263.0,2.0,32.0,1.0,215.0,1.0,1.0,0.0,1080.0,0.0,62.0,901.0,418.0,1680.0,22.0,41.0,517.0,561.0,178.0,1680.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,421.0,652.0,675.0,992.0,69.55000000000001
3,경남마산동부경찰서,2017,0.0,0.0,1129.0,31.0,0.0,19.0,0.0,3.0,0.0,0.0,10.0,2.0,1.0,98.0,0.0,860.0,1.0,3.0,0.0,88.0,1.0,0.0,0.0,133.0,0.0,5.0,168.0,71.0,953.0,4.0,4.0,87.0,103.0,40.0,954.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,195.0,156.0,150.0,485.0,64.45
4,경남마산중부경찰서,2017,0.0,0.0,901.0,294.0,0.0,17.0,0.0,3.0,0.0,0.0,23.0,15.0,1.0,74.0,0.0,902.0,0.0,5.0,1.0,84.0,0.0,0.0,1.0,151.0,0.0,4.0,155.0,68.0,1015.0,5.0,9.0,76.0,95.0,38.0,1015.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,372.0,88.0,270.0,408.0,70.19999999999999
5,경남진주경찰서,2017,1.0,0.0,2105.0,310.0,0.0,31.0,1.0,0.0,0.0,0.0,7.0,6.0,1.0,225.0,0.0,1652.0,1.0,7.0,1.0,325.0,0.0,0.0,0.0,233.0,0.0,4.0,206.0,82.0,2167.0,7.0,9.0,74.0,132.0,65.0,2168.0,0.0,0.0,0.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,675.0,317.0,326.0,919.0,68.05000000000001
6,경남진해경찰서,2017,0.0,0.0,1182.0,19.0,0.0,23.0,0.0,7.0,0.0,0.0,4.0,7.0,2.0,61.0,0.0,884.0,0.0,3.0,1.0,102.0,0.0,0.0,0.0,169.0,0.0,6.0,122.0,77.0,1036.0,4.0,9.0,71.0,85.0,29.0,1037.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,227.0,181.0,176.0,509.0,68.35
7,경남창원서부경찰서,2017,0.0,0.0,1607.0,44.0,0.0,21.0,0.0,3.0,0.0,0.0,50.0,6.0,0.0,33.0,0.0,1215.0,0.0,4.0,1.0,159.0,0.0,0.0,0.0,299.0,0.0,8.0,220.0,72.0,1433.0,1.0,3.0,107.0,136.0,44.0,1434.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,335.0,159.0,186.0,734.0,67.55
8,경남창원중부경찰서,2017,0.0,0.0,1677.0,64.0,0.0,27.0,0.0,144.0,0.0,0.0,3.0,28.0,0.0,147.0,0.0,1349.0,1.0,0.0,2.0,167.0,0.0,2.0,0.0,211.0,0.0,8.0,269.0,86.0,1560.0,8.0,19.0,144.0,147.0,37.0,1560.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,470.0,245.0,305.0,576.0,66.45
9,서울강남경찰서,2017,10.0,0.0,1712.0,345.0,0.0,45.0,0.0,127.0,0.0,0.0,324.0,3.0,0.0,351.0,0.0,994.0,0.0,9.0,0.0,243.0,0.0,1.0,0.0,930.0,0.0,32.0,810.0,240.0,1513.0,10.0,13.0,494.0,415.0,118.0,1513.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,623.0,466.0,410.0,839.0,68.4
10,서울강동경찰서,2017,1.0,0.0,805.0,9.0,0.0,23.0,0.0,11.0,0.0,0.0,65.0,2.0,1.0,56.0,0.0,404.0,1.0,11.0,0.0,116.0,0.0,0.0,0.0,314.0,0.0,9.0,216.0,69.0,629.0,5.0,14.0,103.0,104.0,58.0,630.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,895.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,213.0,121.0,111.0,392.0,72.1
11,서울강북경찰서,2017,8.0,0.0,738.0,36.0,0.0,26.0,0.0,7.0,0.0,0.0,69.0,2.0,2.0,30.0,0.0,429.0,1.0,31.0,0.0,111.0,0.0,0.0,0.0,266.0,0.0,12.0,252.0,67.0,565.0,4.0,22.0,107.0,137.0,48.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,190.0,129.0,131.0,371.0,67.15
12,서울강서경찰서,2017,4.0,0.0,2303.0,276.0,0.0,50.0,0.0,161.0,0.0,0.0,43.0,6.0,3.0,926.0,1.0,1330.0,0.0,8.0,1.0,232.0,0.0,2.0,0.0,316.0,0.0,12.0,527.0,219.0,2091.0,11.0,28.0,281.0,313.0,113.0,2091.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,737.0,288.0,334.0,969.0,64.8
13,서울관악경찰서,2017,4.0,0.0,1742.0,56.0,0.0,14.0,0.0,54.0,0.0,0.0,7.0,2.0,1.0,126.0,0.0,1164.0,0.0,25.0,4.0,166.0,0.0,2.0,0.0,371.0,0.0,16.0,362.0,100.0,1415.0,3.0,13.0,174.0,191.0,81.0,1415.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,393.0,290.0,267.0,815.0,66.25
14,서울광진경찰서,2017,4.0,0.0,1496.0,30.0,0.0,27.0,0.0,80.0,0.0,0.0,5.0,2.0,1.0,120.0,0.0,950.0,2.0,17.0,1.0,155.0,0.0,0.0,1.0,382.0,0.0,11.0,317.0,111.0,1214.0,4.0,19.0,168.0,167.0,68.0,1216.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1616.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,414.0,255.0,277.0,468.0,68.9
15,서울구로경찰서,2017,2.0,0.0,984.0,27.0,0.0,24.0,0.0,27.0,0.0,0.0,34.0,5.0,2.0,131.0,0.0,389.0,0.0,16.0,1.0,154.0,1.0,0.0,0.0,385.0,0.0,14.0,372.0,112.0,614.0,15.0,28.0,173.0,198.0,68.0,616.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,192.0,193.0,209.0,404.0,69.9
16,서울금천경찰서,2017,1.0,0.0,1010.0,122.0,0.0,20.0,0.0,36.0,0.0,0.0,15.0,1.0,1.0,92.0,0.0,352.0,0.0,4.0,1.0,121.0,1.0,1.0,0.0,623.0,0.0,7.0,545.0,152.0,507.0,11.0,26.0,266.0,298.0,96.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,226.0,271.0,274.0,363.0,67.1
17,서울남대문경찰서,2017,2.0,0.0,406.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,17.0,1.0,0.0,48.0,0.0,126.0,0.0,13.0,0.0,25.0,0.0,0.0,0.0,215.0,0.0,12.0,173.0,49.0,218.0,0.0,3.0,88.0,102.0,28.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,74.0,120.0,178.0,68.94999999999999
18,서울노원경찰서,2017,9.0,5.0,1006.0,109.0,0.0,33.0,0.0,45.0,1.0,0.0,16.0,1.0,1.0,206.0,0.0,598.0,0.0,7.0,1.0,172.0,0.0,3.0,0.0,217.0,0.0,18.0,232.0,79.0,913.0,6.0,10.0,87.0,156.0,52.0,913.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,348.0,201.0,212.0,328.0,72.3
19,서울도봉경찰서,2017,1.0,0.0,603.0,9.0,0.0,20.0,1.0,4.0,0.0,0.0,34.0,3.0,0.0,58.0,0.0,355.0,0.0,13.0,0.0,90.0,0.0,0.0,0.0,148.0,0.0,5.0,153.0,51.0,468.0,3.0,10.0,56.0,92.0,43.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,156.0,73.0,128.0,255.0,67.15
20,서울동대문경찰서,2017,5.0,0.0,1141.0,21.0,0.0,32.0,0.0,21.0,0.0,0.0,70.0,5.0,2.0,281.0,0.0,400.0,0.0,22.0,1.0,132.0,2.0,2.0,0.0,422.0,1.0,20.0,452.0,175.0,663.0,14.0,21.0,206.0,267.0,119.0,663.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,211.0,296.0,321.0,398.0,69.75
21,서울동작경찰서,2017,8.0,0.0,680.0,15.0,0.0,14.0,0.0,10.0,0.0,0.0,19.0,11.0,2.0,63.0,0.0,262.0,0.0,27.0,0.0,129.0,0.0,1.0,0.0,244.0,0.0,7.0,234.0,78.0,434.0,4.0,11.0,127.0,122.0,47.0,435.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,734.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,164.0,113.0,131.0,252.0,65.44999999999999
22,서울마포경찰서,2017,5.0,0.0,1845.0,172.0,0.0,24.0,0.0,27.0,0.0,0.0,11.0,3.0,0.0,130.0,0.0,1141.0,1.0,24.0,2.0,247.0,1.0,3.0,0.0,508.0,1.0,23.0,419.0,132.0,1533.0,6.0,22.0,231.0,223.0,68.0,1534.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,629.0,330.0,343.0,597.0,67.55
23,서울방배경찰서,2017,0.0,0.0,699.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,65.0,0.0,264.0,0.0,9.0,0.0,87.0,0.0,0.0,0.0,289.0,0.0,3.0,231.0,95.0,392.0,2.0,8.0,135.0,141.0,41.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,180.0,122.0,138.0,229.0,71.19999999999997
24,서울서대문경찰서,2017,3.0,0.0,547.0,58.0,0.0,11.0,0.0,2.0,0.0,0.0,22.0,8.0,2.0,25.0,0.0,266.0,0.0,9.0,1.0,94.0,0.0,0.0,0.0,233.0,0.0,5.0,179.0,68.0,396.0,3.0,16.0,84.0,103.0,41.0,396.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,629.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,143.0,114.0,104.0,195.0,68.75
25,서울서부경찰서,2017,4.0,0.0,377.0,1.0,0.0,13.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,159.0,0.0,14.0,2.0,100.0,0.0,0.0,0.0,127.0,0.0,1.0,128.0,46.0,245.0,4.0,4.0,62.0,72.0,28.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,84.0,67.0,83.0,163.0,69.94999999999999
26,서울서초경찰서,2017,10.0,0.0,1511.0,60.0,0.0,26.0,0.0,11.0,0.0,0.0,32.0,17.0,7.0,96.0,1.0,531.0,2.0,45.0,2.0,231.0,0.0,0.0,0.0,696.0,0.0,22.0,518.0,221.0,911.0,5.0,16.0,335.0,298.0,85.0,911.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1583.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,279.0,345.0,351.0,556.0,70.5
27,서울성동경찰서,2017,3.0,0.0,1162.0,6.0,0.0,17.0,0.0,2.0,0.0,0.0,38.0,3.0,1.0,82.0,0.0,684.0,0.0,4.0,2.0,115.0,0.0,0.0,0.0,330.0,0.0,7.0,275.0,75.0,878.0,1.0,12.0,130.0,155.0,52.0,878.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,320.0,224.0,232.0,306.0,66.05000000000001
