,경찰서명,연도,화재건수,사망,부상,인명피해_계,부동산피해_천원,동산피해_천원,재산피해_천원,재산피해_건당천원
0, 경기수원남부경찰서 ,2017,118.0,2,24.0,26.0,1084718.0,756962.0,1841679.0,21376.0
1, 경기수원서부경찰서 ,2017,159.0,1,7.0,8.0,581020.0,618198.0,1199217.0,10096.0
2, 경기수원중부경찰서 ,2017,124.0,0,10.0,10.0,458268.0,811849.0,1270116.0,13711.0
3, 경남마산동부경찰서 ,2017,95.0,2,2.0,4.0,184825.0,119858.0,304683.0,3207.0
4, 경남마산중부경찰서 ,2017,114.0,0,1.0,1.0,542237.0,605513.0,1147750.0,10068.0
5, 경남진주경찰서 ,2017,264.0,0,8.0,8.0,805014.0,980462.0,1785476.0,6763.0
6, 경남진해경찰서 ,2017,100.0,0,1.0,1.0,112921.0,138531.0,251452.0,2515.0
7, 경남창원서부경찰서 ,2017,191.0,1,2.0,3.0,746756.0,2847490.0,3594246.0,18818.0
8, 경남창원중부경찰서 ,2017,111.0,3,11.0,14.0,227870.0,287653.0,515523.0,4644.0
9, 서울강남경찰서 ,2017,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0
10, 서울강동경찰서 ,2017,269.0,0,12.0,12.0,188487.0,230106.0,418593.0,1556.0
11, 서울강북경찰서 ,2017,186.0,0,6.0,6.0,134341.0,204805.0,339146.0,1823.0
12, 서울강서경찰서 ,2017,364.0,3,22.0,25.0,342521.0,364350.0,706871.0,1942.0
13, 서울관악경찰서 ,2017,286.0,3,20.0,23.0,320771.0,333919.0,654690.0,2289.0
14, 서울광진경찰서 ,2017,200.0,1,6.0,7.0,230322.0,203420.0,433742.0,2169.0
15, 서울구로경찰서 ,2017,260.0,1,5.0,6.0,112488.0,348080.0,460568.0,1771.0
16, 서울금천경찰서 ,2017,174.0,2,7.0,9.0,163006.0,442543.0,605549.0,3480.0
17, 서울남대문경찰서 ,2017,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0
18, 서울노원경찰서 ,2017,279.0,3,18.0,21.0,284890.0,281931.0,566821.0,2032.0
19, 서울도봉경찰서 ,2017,192.0,2,6.0,8.0,76077.0,212759.0,288836.0,1504.0
20, 서울동대문경찰서 ,2017,200.0,1,2.0,3.0,475285.0,647169.0,1122454.0,5612.0
21, 서울동작경찰서 ,2017,222.0,3,10.0,13.0,128070.0,149074.0,277144.0,1248.0
22, 서울마포경찰서 ,2017,235.0,1,7.0,8.0,1051681.0,307348.0,1359029.0,5783.0
23, 서울방배경찰서 ,2017,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0
24, 서울서대문경찰서 ,2017,232.0,1,15.0,16.0,181371.0,216202.0,397573.0,1714.0
25, 서울서부경찰서 ,2017,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0
26, 서울서초경찰서 ,2017,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0
27, 서울성동경찰서 ,2017,197.0,1,11.0,12.0,228269.0,393055.0,621324.0,3154.0
28, 서울성북경찰서 ,2017,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0
29, 서울송파경찰서 ,2017,318.0,3,13.0,16.0,250145.0,389082.0,639227.0,2010.0
30, 서울수서경찰서 ,2017,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0
31, 서울양천경찰서 ,2017,244.0,0,7.0,7.0,110271.0,190360.0,300631.0,1232.0
32, 서울영등포경찰서 ,2017,239.0,1,16.0,17.0,300321.0,793273.0,1093594.0,4576.0
33, 서울용산경찰서 ,2017,167.0,0,6.0,6.0,112190.0,150720.0,262910.0,1574.0
34, 서울은평경찰서 ,2017,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0
35, 서울종로경찰서 ,2017,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0
36, 서울종암경찰서 ,2017,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0
37, 서울중랑경찰서 ,2017,196.0,2,5.0,7.0,171049.0,161317.0,332366.0,1696.0
38, 서울중부경찰서 ,2017,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0
39, 서울혜화경찰서 ,2017,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0
40, 충남세종경찰서 ,2017,316.0,2,8.0,10.0,1687347.0,2351765.0,4039112.0,12782.0
41, 경기수원남부경찰서 ,2018,116.0,1,8.0,9.0,615924.0,810377.0,1426301.0,16755.0
42, 경기수원서부경찰서 ,2018,135.0,0,24.0,24.0,1347730.0,1099781.0,2447511.0,24691.0
43, 경기수원중부경찰서 ,2018,119.0,0,10.0,10.0,516852.0,543848.0,1060700.0,12500.0
44, 경남마산동부경찰서 ,2018,76.0,2,4.0,6.0,148990.0,109214.0,258204.0,3397.0
45, 경남마산중부경찰서 ,2018,105.0,0,2.0,2.0,236060.0,209335.0,445395.0,4242.0
46, 경남진주경찰서 ,2018,234.0,0,2.0,2.0,591462.0,603250.0,1194712.0,5106.0
47, 경남진해경찰서 ,2018,132.0,0,3.0,3.0,188324.0,767869.0,956193.0,7244.0
48, 경남창원서부경찰서 ,2018,157.0,0,4.0,4.0,464360.0,739830.0,1204190.0,7670.0
49, 경남창원중부경찰서 ,2018,104.0,0,6.0,6.0,93472.0,191939.0,285411.0,2744.0
50, 서울강남경찰서 ,2018,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0
51, 서울강동경찰서 ,2018,324.0,4,15.0,19.0,236181.0,304444.0,540625.0,1669.0
52, 서울강북경찰서 ,2018,203.0,4,2.0,6.0,104658.0,112180.0,216838.0,1068.0
53, 서울강서경찰서 ,2018,383.0,2,18.0,20.0,196115.0,197286.0,393401.0,1027.0
54, 서울관악경찰서 ,2018,337.0,1,20.0,21.0,395475.0,421087.0,816562.0,2423.0
55, 서울광진경찰서 ,2018,203.0,0,7.0,7.0,315690.0,342495.0,658185.0,3242.0
56, 서울구로경찰서 ,2018,263.0,2,3.0,5.0,74308.0,165019.0,239327.0,910.0
57, 서울금천경찰서 ,2018,168.0,0,8.0,8.0,55351.0,148455.0,203806.0,1213.0
58, 서울남대문경찰서 ,2018,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0
59, 서울노원경찰서 ,2018,229.0,2,10.0,12.0,105994.0,225006.0,331000.0,1445.0
60, 서울도봉경찰서 ,2018,237.0,0,8.0,8.0,85113.0,116385.0,201498.0,850.0
61, 서울동대문경찰서 ,2018,203.0,1,3.0,4.0,179873.0,529614.0,709487.0,3495.0
62, 서울동작경찰서 ,2018,205.0,4,9.0,13.0,103520.0,209405.0,312925.0,1526.0
63, 서울마포경찰서 ,2018,254.0,2,4.0,6.0,132459.0,150525.0,282984.0,1114.0
64, 서울방배경찰서 ,2018,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0
65, 서울서대문경찰서 ,2018,229.0,4,9.0,13.0,236471.0,7641030.0,7877501.0,34400.0
66, 서울서부경찰서 ,2018,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0
67, 서울서초경찰서 ,2018,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0
68, 서울성동경찰서 ,2018,212.0,0,12.0,12.0,162939.0,453146.0,616085.0,2906.0
69, 서울성북경찰서 ,2018,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0
70, 서울송파경찰서 ,2018,340.0,0,28.0,28.0,390994.0,579257.0,970251.0,2854.0
71, 서울수서경찰서 ,2018,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0
72, 서울양천경찰서 ,2018,219.0,1,11.0,12.0,136819.0,220750.0,357569.0,1633.0
73, 서울영등포경찰서 ,2018,258.0,4,23.0,27.0,228065.0,476128.0,704193.0,2729.0
74, 서울용산경찰서 ,2018,211.0,1,6.0,7.0,123288.0,271615.0,394903.0,1872.0
75, 서울은평경찰서 ,2018,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0
76, 서울종로경찰서 ,2018,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0
77, 서울종암경찰서 ,2018,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0
78, 서울중랑경찰서 ,2018,254.0,2,8.0,10.0,103281.0,98140.0,201421.0,793.0
79, 서울중부경찰서 ,2018,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0
80, 서울혜화경찰서 ,2018,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0
81, 충남세종경찰서 ,2018,236.0,3,50.0,53.0,8548417.0,1773184.0,10321601.0,43736.0
82, 경기수원남부경찰서 ,2019,152.0,1,9.0,10.0,1329649.0,2179521.0,3509170.0,31093.0
83, 경기수원서부경찰서 ,2019,164.0,0,16.0,16.0,503378.0,660681.0,1164059.0,9459.0
84, 경기수원중부경찰서 ,2019,137.0,0,8.0,8.0,434748.0,428111.0,862859.0,8160.0
85, 경남마산동부경찰서 ,2019,85.0,1,3.0,4.0,94566.0,125708.0,220274.0,2591.0
86, 경남마산중부경찰서 ,2019,129.0,1,4.0,5.0,246655.0,979273.0,1225928.0,9503.0
87, 경남진주경찰서 ,2019,260.0,1,3.0,4.0,496350.0,686827.0,1183177.0,4551.0
88, 경남진해경찰서 ,2019,138.0,2,4.0,6.0,164990.0,381914.0,546904.0,3963.0
89, 경남창원서부경찰서 ,2019,163.0,0,5.0,5.0,202946.0,741553.0,944499.0,5794.0
90, 경남창원중부경찰서 ,2019,132.0,1,2.0,3.0,213408.0,411795.0,625203.0,4736.0
91, 서울강남경찰서 ,2019,456.0,1,23.0,24.0,900260.0,777421.0,1677681.0,3679.0
92, 서울강동경찰서 ,2019,254.0,1,10.0,11.0,166909.0,366450.0,533359.0,2100.0
93, 서울강북경찰서 ,2019,167.0,1,9.0,10.0,76389.0,141416.0,217805.0,1304.0
94, 서울강서경찰서 ,2019,331.0,0,24.0,24.0,251606.0,414691.0,666297.0,2013.0
95, 서울관악경찰서 ,2019,311.0,3,6.0,9.0,312837.0,341749.0,654586.0,2105.0
96, 서울광진경찰서 ,2019,195.0,0,8.0,8.0,145574.0,247269.0,392843.0,2015.0
97, 서울구로경찰서 ,2019,247.0,0,7.0,7.0,157597.0,254232.0,411829.0,1667.0
98, 서울금천경찰서 ,2019,141.0,0,4.0,4.0,178251.0,493516.0,671767.0,4764.0
99, 서울남대문경찰서 ,2019,213.0,3,17.0,20.0,5135961.0,68941136.0,74077097.0,347780.0
100, 서울노원경찰서 ,2019,203.0,0,6.0,6.0,44268.0,141374.0,185642.0,914.0
101, 서울도봉경찰서 ,2019,179.0,3,8.0,11.0,424291.0,344157.0,768448.0,4293.0
102, 서울동대문경찰서 ,2019,195.0,5,21.0,26.0,233398.0,636944.0,870342.0,4463.0
103, 서울동작경찰서 ,2019,208.0,2,10.0,12.0,86519.0,92724.0,179243.0,862.0
104, 서울마포경찰서 ,2019,246.0,0,13.0,13.0,163683.0,229742.0,393425.0,1599.0
105, 서울방배경찰서 ,2019,242.0,2,42.0,44.0,300794.0,669453.0,970247.0,4009.0
106, 서울서대문경찰서 ,2019,269.0,1,12.0,13.0,109764.0,111196.0,220960.0,821.0
107, 서울서부경찰서 ,2019,196.0,3,20.0,23.0,1901761.0,511008.0,2412769.0,12310.0
108, 서울서초경찰서 ,2019,242.0,2,42.0,44.0,300794.0,669453.0,970247.0,4009.0
109, 서울성동경찰서 ,2019,194.0,2,7.0,9.0,119319.0,604898.0,724217.0,3733.0
110, 서울성북경찰서 ,2019,191.0,0,10.0,10.0,241464.0,222877.0,464341.0,2431.0
111, 서울송파경찰서 ,2019,335.0,2,19.0,21.0,330243.0,628586.0,958829.0,2862.0
112, 서울수서경찰서 ,2019,456.0,1,23.0,24.0,900260.0,777421.0,1677681.0,3679.0
113, 서울양천경찰서 ,2019,163.0,2,7.0,9.0,107052.0,358668.0,465720.0,2857.0
114, 서울영등포경찰서 ,2019,265.0,1,48.0,49.0,344748.0,2755206.0,3099954.0,11698.0
115, 서울용산경찰서 ,2019,238.0,0,5.0,5.0,100283.0,167582.0,267865.0,1125.0
116, 서울은평경찰서 ,2019,196.0,3,20.0,23.0,1901761.0,511008.0,2412769.0,12310.0
117, 서울종로경찰서 ,2019,232.0,4,16.0,20.0,403054.0,398040.0,801094.0,3453.0
118, 서울종암경찰서 ,2019,191.0,0,10.0,10.0,241464.0,222877.0,464341.0,2431.0
119, 서울중랑경찰서 ,2019,210.0,1,9.0,10.0,95365.0,227285.0,322650.0,1536.0
120, 서울중부경찰서 ,2019,213.0,3,17.0,20.0,5135961.0,68941136.0,74077097.0,347780.0
121, 서울혜화경찰서 ,2019,232.0,4,16.0,20.0,403054.0,398040.0,801094.0,3453.0
122, 충남세종경찰서 ,2019,191.0,0,8.0,8.0,995712.0,1699780.0,2695492.0,14113.0
