관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,절도폭력_발생수,절도폭력_검거수,절도폭력_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_절폭
서울혜화경찰서,2017,1.0,0.0,1376.0,219.0,1.0,38.0,0.0,49.0,0.0,0.0,17.0,3.0,101.0,16.0,0.0,5.0,16.0,1.0,8.0,38.0,0.0,14.0,0.0,1016.0,2.0,481.0,1099.0,497.0,105.0,5.0,78.0,591.0,673.0,251.0,103.0,137.0,244.0,261.0,509.0,550.0,5180,3818,0.737,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0,784,13,213,4256,24.0,143,39053.0,12,15.9,12.4,77492,5135,1361,8423,14194,29113,8717,78.3
충남세종경찰서,2017,1.0,0.0,535.0,711.0,0.0,7.0,0.0,60.0,0.0,0.0,3.0,2.0,153.0,10.0,0.0,1.0,29.0,3.0,24.0,105.0,0.0,14.0,0.0,941.0,2.0,33.0,803.0,448.0,66.0,11.0,108.0,430.0,560.0,140.0,68.0,164.0,166.0,236.0,333.0,418.0,4628,3329,0.7190000000000001,316.0,2,8.0,10.0,1687347.0,2351765.0,4039112.0,12782.0,2527,88,178,10410,39.0,66,31472.0,9,6.9,6.6,276589,9233,2033,8207,11006,30479,6761,80.15
경기수원남부경찰서,2018,11.0,0.0,3874.0,1157.0,0.0,69.0,0.0,493.0,0.0,0.0,66.0,2.0,238.0,47.0,0.0,1.0,77.0,2.0,49.0,208.0,0.0,137.0,0.0,4260.0,14.0,635.0,3490.0,1807.0,373.0,31.0,548.0,2585.0,1772.0,373.0,361.0,577.0,1380.0,875.0,1082.0,1756.0,4371,3452,0.79,116.0,1,8.0,9.0,615924.0,810377.0,1426301.0,16755.0,4719,148,395,3671,30.0,223,57117.0,15,8.6,8.5,499358,54994,14146,63160,82665,214965,15884,77.35
경기수원서부경찰서,2018,7.0,0.0,1943.0,1320.0,0.0,60.0,0.0,74.0,0.0,0.0,94.0,1.0,89.0,38.0,0.0,1.0,47.0,4.0,17.0,166.0,0.0,50.0,0.0,2708.0,6.0,371.0,2099.0,1193.0,206.0,18.0,306.0,1362.0,1282.0,326.0,204.0,336.0,651.0,499.0,872.0,1140.0,4164,3070,0.737,135.0,0,24.0,24.0,1347730.0,1099781.0,2447511.0,24691.0,2919,102,258,3961,28.0,79,29804.0,49,18.55,16.65,299424,54994,14146,63160,82665,214965,26522,72.9
경기수원중부경찰서,2018,4.0,2.0,2869.0,1203.0,0.0,60.0,0.0,128.0,0.0,0.0,32.0,2.0,161.0,26.0,0.0,2.0,42.0,1.0,41.0,203.0,0.0,28.0,0.0,3112.0,7.0,673.0,2496.0,1476.0,326.0,26.0,343.0,1294.0,1778.0,544.0,313.0,437.0,703.0,631.0,1057.0,1470.0,3777,2609,0.691,119.0,0,10.0,10.0,516852.0,543848.0,1060700.0,12500.0,4447,96,333,6736,21.0,157,42710.0,23,16.1,12.9,402384,54994,14146,63160,82665,214965,21525,73.7
경남마산동부경찰서,2018,0.0,22.0,1178.0,683.0,0.0,19.0,0.0,44.0,0.0,0.0,4.0,2.0,147.0,19.0,0.0,0.0,54.0,1.0,18.0,72.0,0.0,15.0,0.0,1458.0,3.0,161.0,1161.0,645.0,144.0,8.0,122.0,554.0,807.0,320.0,139.0,236.0,402.0,290.0,414.0,608.0,3206,2588,0.807,76.0,2,4.0,6.0,148990.0,109214.0,258204.0,3397.0,1218,65,185,5647,11.0,337,20069.0,15,15.1,13.4,197683,76386,17619,86290,108663,288958,4234,74.2
경남마산중부경찰서,2018,0.0,18.0,839.0,396.0,2.0,25.0,0.0,72.0,0.0,2.0,37.0,1.0,92.0,8.0,0.0,0.0,86.0,0.0,7.0,77.0,0.0,18.0,0.0,1030.0,2.0,70.0,805.0,482.0,104.0,8.0,65.0,356.0,614.0,249.0,99.0,153.0,326.0,194.0,292.0,426.0,4615,3211,0.696,105.0,0,2.0,2.0,236060.0,209335.0,445395.0,4242.0,913,55,142,6843,13.0,487,21903.0,14,15.6,16.5,197683,76386,17619,86290,108663,288958,3580,78.15
경남진주경찰서,2018,0.0,0.0,1807.0,1278.0,0.0,15.0,0.0,105.0,0.0,1.0,112.0,2.0,247.0,31.0,0.0,1.0,437.0,1.0,10.0,64.0,0.0,29.0,0.0,2280.0,13.0,203.0,2025.0,1071.0,222.0,9.0,207.0,1154.0,1129.0,608.0,211.0,657.0,526.0,436.0,564.0,1135.0,4499,3145,0.6990000000000001,234.0,0,2.0,2.0,591462.0,603250.0,1194712.0,5106.0,2709,127,289,6153,40.0,370,42140.0,24,13.8,9.6,352333,38161,9848,44325,46154,138488,8855,78.1
경남진해경찰서,2018,0.0,0.0,812.0,557.0,0.0,12.0,0.0,5.0,0.0,0.0,6.0,2.0,129.0,7.0,0.0,0.0,56.0,0.0,35.0,57.0,0.0,13.0,0.0,1052.0,1.0,40.0,787.0,441.0,164.0,10.0,87.0,425.0,560.0,147.0,163.0,207.0,276.0,205.0,235.0,469.0,4106,3112,0.758,132.0,0,3.0,3.0,188324.0,767869.0,956193.0,7244.0,1142,106,137,3218,39.0,304,19964.0,12,12.8,12.3,190276,76386,17619,86290,108663,288958,5954,76.75
경남창원서부경찰서,2018,0.0,0.0,624.0,854.0,0.0,23.0,0.0,231.0,0.0,1.0,8.0,0.0,104.0,9.0,0.0,2.0,123.0,1.0,11.0,85.0,0.0,19.0,0.0,1263.0,3.0,121.0,998.0,646.0,97.0,6.0,79.0,513.0,849.0,195.0,99.0,243.0,299.0,257.0,376.0,566.0,3075,2350,0.764,157.0,0,4.0,4.0,464360.0,739830.0,1204190.0,7670.0,1050,140,155,6078,11.0,332,21387.0,17,13.7,12.2,184502,76386,17619,86290,108663,288958,4523,74.85
경남창원중부경찰서,2018,0.0,0.0,1053.0,1173.0,1.0,19.0,0.0,98.0,0.0,0.0,14.0,1.0,153.0,27.0,0.0,0.0,179.0,0.0,6.0,101.0,0.0,30.0,0.0,1718.0,2.0,141.0,1357.0,740.0,261.0,5.0,182.0,914.0,817.0,188.0,252.0,317.0,533.0,421.0,459.0,628.0,3104,2377,0.7659999999999999,104.0,0,6.0,6.0,93472.0,191939.0,285411.0,2744.0,1429,136,201,2895,21.0,566,27203.0,18,16.2,15.4,295731,76386,17619,86290,108663,288958,8536,76.85
서울강남경찰서,2018,2.0,1.0,1960.0,2057.0,0.0,33.0,0.0,76.0,0.0,0.0,12.0,1.0,293.0,27.0,0.0,4.0,50.0,1.0,91.0,74.0,0.0,45.0,0.0,3060.0,26.0,469.0,2283.0,1501.0,357.0,3.0,303.0,2293.0,944.0,253.0,345.0,565.0,988.0,779.0,846.0,963.0,2548,2211,0.868,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0,3095,24,421,5031,604.0,297,45774.0,54,19.3,18.4,324936,23317,12601,36713,53373,126004,7760,81.1
서울강동경찰서,2018,3.0,2.0,2672.0,850.0,0.0,47.0,0.0,120.0,0.0,0.0,24.0,1.0,286.0,21.0,0.0,0.0,7.0,0.0,92.0,61.0,0.0,18.0,0.0,2135.0,1.0,1096.0,2197.0,1274.0,247.0,21.0,302.0,1308.0,1396.0,453.0,238.0,407.0,690.0,623.0,859.0,1139.0,1672,1184,0.708,324.0,4,15.0,19.0,236181.0,304444.0,540625.0,1669.0,2619,72,393,7505,1.0,213,42126.0,28,13.0,11.6,414231,26182,8745,34526,41823,111276,8764,76.75
서울강북경찰서,2018,3.0,0.0,2026.0,340.0,1.0,66.0,0.0,706.0,0.0,0.0,56.0,2.0,145.0,28.0,0.0,1.0,28.0,2.0,92.0,52.0,1.0,13.0,0.0,1888.0,1.0,945.0,1961.0,1175.0,62.0,17.0,269.0,1188.0,1205.0,460.0,59.0,345.0,751.0,531.0,657.0,914.0,1581,1122,0.71,203.0,4,2.0,6.0,104658.0,112180.0,216838.0,1068.0,2299,41,347,8430,22.0,184,40872.0,26,16.1,13.9,309138,40657,14166,54794,69957,179574,7015,72.8
서울강서경찰서,2018,2.0,0.0,2380.0,1826.0,0.0,55.0,0.0,128.0,0.0,1.0,20.0,15.0,280.0,64.0,0.0,1.0,12.0,1.0,217.0,133.0,0.0,20.0,0.0,2978.0,3.0,688.0,2525.0,1597.0,290.0,30.0,313.0,1649.0,1574.0,568.0,278.0,458.0,785.0,740.0,1057.0,1372.0,1582,1163,0.735,383.0,2,18.0,20.0,196115.0,197286.0,393401.0,1027.0,2377,139,500,8573,766.0,289,73011.0,46,15.1,13.8,578539,43743,21221,76671,105084,246719,13192,78.15
서울관악경찰서,2018,4.0,0.0,2433.0,1678.0,13.0,83.0,0.0,349.0,0.0,0.0,68.0,3.0,291.0,53.0,0.0,3.0,41.0,1.0,22.0,108.0,0.0,17.0,0.0,2965.0,8.0,1116.0,2800.0,1491.0,337.0,23.0,313.0,1996.0,1391.0,585.0,320.0,458.0,1000.0,786.0,1012.0,1372.0,4144,2898,0.6990000000000001,337.0,1,20.0,21.0,395475.0,421087.0,816562.0,2423.0,4825,78,493,11882,890.0,272,112733.0,34,13.8,12.0,510303,30517,14156,48673,63013,156359,30267,74.95
서울광진경찰서,2018,1.0,2.0,1925.0,1649.0,0.0,37.0,0.0,110.0,0.0,0.0,53.0,2.0,222.0,48.0,0.0,2.0,41.0,0.0,150.0,73.0,0.0,13.0,0.0,2529.0,11.0,686.0,2285.0,1253.0,239.0,7.0,385.0,1571.0,1191.0,391.0,232.0,376.0,798.0,589.0,815.0,1199.0,3763,2529,0.672,203.0,0,7.0,7.0,315690.0,342495.0,658185.0,3242.0,6459,34,380,9132,1449.0,93,56337.0,23,12.8,11.5,362304,25059,7424,28059,32091,92633,22554,75.44999999999997
서울구로경찰서,2018,10.0,0.0,3019.0,1089.0,1.0,87.0,0.0,190.0,0.0,1.0,102.0,2.0,198.0,15.0,1.0,1.0,26.0,1.0,12.0,156.0,0.0,11.0,0.0,3258.0,4.0,814.0,2706.0,1422.0,371.0,29.0,269.0,1503.0,1752.0,582.0,364.0,477.0,698.0,714.0,1030.0,1580.0,3557,2799,0.787,263.0,2,3.0,5.0,74308.0,165019.0,239327.0,910.0,3659,45,395,7816,722.0,107,44151.0,32,15.7,14.0,433765,22181,6584,26635,39943,95343,54089,72.8
서울금천경찰서,2018,5.0,0.0,1749.0,1080.0,1.0,34.0,0.0,205.0,1.0,1.0,28.0,1.0,183.0,30.0,0.0,1.0,15.0,1.0,21.0,69.0,0.0,11.0,0.0,1886.0,6.0,880.0,1841.0,999.0,264.0,13.0,149.0,1013.0,1279.0,396.0,254.0,283.0,549.0,493.0,698.0,1081.0,1924,1534,0.797,168.0,0,8.0,8.0,55351.0,148455.0,203806.0,1213.0,4226,50,274,6260,511.0,118,34564.0,19,16.7,12.0,249344,23773,8196,33613,42754,108336,32556,69.05
서울남대문경찰서,2018,0.0,0.0,1053.0,373.0,0.0,36.0,0.0,73.0,0.0,0.0,46.0,2.0,111.0,14.0,0.0,2.0,21.0,0.0,29.0,41.0,0.0,5.0,0.0,930.0,3.0,423.0,891.0,584.0,106.0,3.0,42.0,668.0,588.0,179.0,101.0,99.0,166.0,235.0,585.0,496.0,2088,1552,0.743,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0,725,16,186,1137,161.0,88,3473.0,7,11.4,9.7,75988,7397,2133,13901,23622,47053,2450,78.35
서울노원경찰서,2018,4.0,0.0,2438.0,1005.0,0.0,54.0,4.0,211.0,0.0,0.0,47.0,3.0,313.0,64.0,0.0,4.0,7.0,2.0,98.0,68.0,0.0,18.0,0.0,2546.0,5.0,635.0,2153.0,1318.0,292.0,28.0,395.0,1235.0,1329.0,491.0,285.0,430.0,677.0,566.0,870.0,1220.0,1821,1408,0.773,229.0,2,10.0,12.0,105994.0,225006.0,331000.0,1445.0,1998,167,415,4078,61.0,63,51280.0,43,15.4,12.5,534096,53212,27256,90159,114484,285111,7697,78.1
서울도봉경찰서,2018,2.0,11.0,1285.0,632.0,0.0,40.0,0.0,35.0,0.0,0.0,83.0,0.0,152.0,21.0,0.0,1.0,23.0,4.0,40.0,58.0,0.0,34.0,0.0,1366.0,2.0,387.0,1213.0,724.0,151.0,11.0,137.0,641.0,859.0,292.0,148.0,243.0,341.0,346.0,464.0,694.0,3824,3127,0.818,237.0,0,8.0,8.0,85113.0,116385.0,201498.0,850.0,10,71,273,6337,622.0,68,30848.0,24,13.9,14.3,328243,35606,10465,36914,43336,126321,4560,78.15
서울동대문경찰서,2018,4.0,0.0,2321.0,899.0,3.0,49.0,0.0,294.0,0.0,0.0,26.0,3.0,250.0,46.0,0.0,0.0,48.0,1.0,174.0,94.0,0.0,8.0,0.0,2165.0,1.0,806.0,2223.0,1122.0,251.0,19.0,234.0,1170.0,1340.0,586.0,247.0,304.0,660.0,570.0,883.0,1179.0,3596,2835,0.7879999999999999,203.0,1,3.0,4.0,179873.0,529614.0,709487.0,3495.0,26,14,429,10730,2.0,150,55593.0,29,16.9,13.8,358141,26725,8825,39066,60913,135529,22318,74.5
서울동작경찰서,2018,1.0,0.0,1429.0,1065.0,0.0,56.0,0.0,93.0,0.0,0.0,119.0,3.0,184.0,20.0,0.0,1.0,9.0,0.0,82.0,74.0,0.0,10.0,0.0,1796.0,0.0,584.0,1668.0,854.0,241.0,10.0,209.0,1084.0,865.0,357.0,238.0,291.0,454.0,500.0,633.0,885.0,3094,2662,0.86,205.0,4,9.0,13.0,103520.0,209405.0,312925.0,1526.0,2033,53,353,8848,891.0,83,56872.0,28,14.0,12.0,397980,19659,7501,27251,39287,93698,19970,75.9
서울마포경찰서,2018,10.0,1.0,2749.0,1870.0,0.0,52.0,1.0,43.0,0.0,0.0,48.0,5.0,299.0,25.0,0.0,4.0,15.0,3.0,85.0,118.0,0.0,20.0,1.0,3121.0,12.0,1066.0,2905.0,1551.0,318.0,14.0,470.0,2421.0,1166.0,389.0,314.0,521.0,1434.0,736.0,844.0,1239.0,3006,2059,0.685,254.0,2,4.0,6.0,132459.0,150525.0,282984.0,1114.0,2317,82,458,7628,710.0,121,56837.0,27,14.0,12.5,368181,16051,8078,25907,37847,87883,14746,77.55000000000003
서울방배경찰서,2018,1.0,0.0,455.0,291.0,1.0,23.0,0.0,39.0,0.0,0.0,10.0,0.0,61.0,13.0,0.0,0.0,4.0,0.0,15.0,15.0,0.0,3.0,0.0,544.0,1.0,164.0,513.0,261.0,46.0,5.0,48.0,273.0,335.0,113.0,46.0,86.0,112.0,156.0,190.0,276.0,2763,1924,0.696,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0,2691,25,141,3231,2.0,24,10750.0,26,11.6,10.5,136831,13609,5693,16649,21707,57658,2488,83.4
서울서대문경찰서,2018,2.0,22.0,1646.0,750.0,0.0,43.0,1.0,55.0,0.0,0.0,93.0,1.0,149.0,22.0,0.0,3.0,20.0,1.0,102.0,80.0,0.0,9.0,0.0,1731.0,2.0,492.0,1588.0,910.0,114.0,10.0,230.0,1066.0,847.0,348.0,111.0,315.0,462.0,411.0,624.0,800.0,2834,2082,0.735,229.0,4,9.0,13.0,236471.0,7641030.0,7877501.0,34400.0,2938,58,322,6938,356.0,75,44795.0,23,14.6,11.2,318874,22177,6467,23246,35914,87804,16065,76.8
서울서부경찰서,2018,0.0,2.0,930.0,360.0,0.0,21.0,0.0,36.0,0.0,0.0,10.0,3.0,81.0,8.0,0.0,0.0,7.0,1.0,16.0,31.0,0.0,17.0,0.0,815.0,0.0,380.0,832.0,447.0,80.0,2.0,109.0,427.0,510.0,231.0,80.0,131.0,247.0,206.0,307.0,468.0,4727,3055,0.6459999999999999,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0,1870,46,221,3546,191.0,96,21874.0,39,15.9,13.4,185584,48561,15383,52463,71341,187748,3559,75.15
서울서초경찰서,2018,2.0,0.0,1848.0,1354.0,0.0,44.0,0.0,125.0,0.0,1.0,21.0,3.0,297.0,22.0,0.0,2.0,17.0,1.0,46.0,68.0,0.0,17.0,0.0,2223.0,10.0,689.0,2003.0,1130.0,262.0,9.0,208.0,1673.0,976.0,274.0,255.0,354.0,734.0,643.0,800.0,864.0,4774,3163,0.6629999999999999,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0,4237,88,339,4405,1.0,115,30613.0,26,11.6,10.5,297120,13609,5693,16649,21707,57658,6224,84.25
서울성동경찰서,2018,1.0,0.0,1372.0,707.0,0.0,42.0,0.0,84.0,0.0,0.0,45.0,0.0,113.0,11.0,0.0,4.0,8.0,0.0,14.0,29.0,0.0,17.0,0.0,1447.0,5.0,603.0,1361.0,722.0,168.0,6.0,165.0,911.0,756.0,250.0,163.0,241.0,384.0,382.0,510.0,734.0,3645,2749,0.754,212.0,0,12.0,12.0,162939.0,453146.0,616085.0,2906.0,3241,54,320,6228,751.0,62,40706.0,21,13.7,12.2,306796,17742,6463,25887,34515,84607,13555,77.85
서울성북경찰서,2018,1.0,5.0,911.0,376.0,1.0,26.0,0.0,102.0,0.0,0.0,11.0,0.0,79.0,9.0,0.0,3.0,15.0,1.0,25.0,34.0,0.0,6.0,1.0,932.0,0.0,328.0,909.0,497.0,27.0,13.0,170.0,604.0,436.0,185.0,25.0,169.0,281.0,201.0,336.0,446.0,923,642,0.696,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0,2015,29,252,7048,482.0,36,34379.0,35,15.8,13.6,255090,34363,11267,40341,57460,143431,10021,75.85
서울송파경찰서,2018,2.0,0.0,3977.0,1394.0,0.0,72.0,0.0,105.0,0.0,0.0,61.0,5.0,504.0,66.0,1.0,2.0,7.0,1.0,111.0,100.0,0.0,7.0,0.0,3638.0,8.0,1161.0,3301.0,1864.0,446.0,38.0,375.0,2194.0,1951.0,624.0,429.0,758.0,985.0,937.0,1322.0,1609.0,820,585,0.713,340.0,0,28.0,28.0,390994.0,579257.0,970251.0,2854.0,2096,140,538,8817,834.0,241,63451.0,34,10.1,9.3,638167,31969,10612,33782,40033,116396,13112,77.7
서울수서경찰서,2018,1.0,0.0,905.0,1550.0,0.0,24.0,0.0,79.0,0.0,2.0,18.0,3.0,362.0,24.0,0.0,0.0,11.0,2.0,120.0,45.0,0.0,18.0,0.0,1498.0,5.0,491.0,1518.0,846.0,215.0,12.0,151.0,1056.0,850.0,293.0,217.0,420.0,371.0,451.0,589.0,748.0,790,655,0.8290000000000001,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0,3124,70,312,3031,696.0,115,20383.0,54,19.3,18.4,217428,23317,12601,36713,53373,126004,2846,82.19999999999997
서울양천경찰서,2018,9.0,1.0,2145.0,953.0,1.0,60.0,0.0,134.0,0.0,0.0,65.0,2.0,161.0,12.0,0.0,2.0,48.0,2.0,109.0,77.0,0.0,19.0,0.0,2368.0,7.0,561.0,1902.0,1155.0,311.0,31.0,327.0,1014.0,1265.0,427.0,304.0,347.0,541.0,562.0,846.0,1072.0,2935,2113,0.72,219.0,1,11.0,12.0,136819.0,220750.0,357569.0,1633.0,2921,95,376,7113,624.0,72,34304.0,22,9.4,7.6,445591,34353,9758,35547,46213,125871,8418,79.4
서울영등포경찰서,2018,4.0,0.0,3328.0,1902.0,1.0,66.0,0.0,84.0,0.0,5.0,32.0,4.0,358.0,81.0,0.0,4.0,16.0,4.0,43.0,136.0,0.0,22.0,0.0,3623.0,8.0,1123.0,3396.0,1593.0,433.0,23.0,319.0,1913.0,2064.0,686.0,417.0,568.0,855.0,859.0,1313.0,1827.0,2612,1821,0.6970000000000001,258.0,4,23.0,27.0,228065.0,476128.0,704193.0,2729.0,3775,44,513,7951,952.0,342,53477.0,25,13.8,12.6,395286,14291,4965,27787,42434,89477,56483,73.4
서울용산경찰서,2018,3.0,0.0,1468.0,1290.0,2.0,41.0,0.0,198.0,0.0,1.0,40.0,3.0,248.0,27.0,0.0,2.0,6.0,2.0,56.0,64.0,0.0,5.0,0.0,1723.0,16.0,891.0,1945.0,876.0,222.0,8.0,152.0,1440.0,931.0,295.0,217.0,325.0,886.0,529.0,572.0,731.0,2410,1860,0.772,211.0,1,6.0,7.0,123288.0,271615.0,394903.0,1872.0,2051,45,343,9980,996.0,122,34240.0,18,16.0,14.6,226938,12180,3455,21583,32765,69983,20841,77.7
서울은평경찰서,2018,2.0,13.0,1176.0,517.0,5.0,41.0,0.0,344.0,0.0,0.0,22.0,3.0,118.0,11.0,0.0,3.0,8.0,1.0,35.0,86.0,0.0,5.0,0.0,1430.0,5.0,415.0,1217.0,770.0,133.0,10.0,205.0,723.0,748.0,302.0,132.0,217.0,445.0,333.0,468.0,657.0,1445,1215,0.841,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0,1796,54,203,4502,255.0,117,30414.0,39,15.9,13.4,297613,48561,15383,52463,71341,187748,5338,76.35
서울종로경찰서,2018,1.0,2.0,1097.0,507.0,0.0,28.0,0.0,112.0,0.0,1.0,92.0,1.0,116.0,13.0,1.0,1.0,9.0,2.0,41.0,49.0,0.0,8.0,0.0,1045.0,5.0,549.0,1209.0,475.0,156.0,4.0,57.0,729.0,635.0,263.0,152.0,213.0,324.0,237.0,448.0,618.0,1359,1037,0.763,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0,805,29,285,5259,68.0,150,34042.0,8,10.6,9.6,77077,6604,2155,12664,22408,43831,3395,82.35
서울종암경찰서,2018,2.0,0.0,746.0,541.0,0.0,36.0,0.0,47.0,0.0,0.0,15.0,1.0,83.0,20.0,0.0,1.0,9.0,3.0,15.0,48.0,0.0,4.0,0.0,894.0,1.0,308.0,812.0,476.0,99.0,4.0,90.0,396.0,580.0,219.0,98.0,128.0,239.0,226.0,325.0,469.0,1278,1169,0.915,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0,1855,22,176,5751,442.0,21,23329.0,35,15.8,13.6,180778,34363,11267,40341,57460,143431,6752,74.1
서울중랑경찰서,2018,5.0,0.0,2276.0,1321.0,3.0,74.0,0.0,244.0,0.0,0.0,66.0,2.0,215.0,30.0,0.0,4.0,50.0,3.0,120.0,165.0,0.0,19.0,0.0,2533.0,1.0,847.0,2411.0,1312.0,266.0,29.0,289.0,1264.0,1553.0,597.0,257.0,420.0,706.0,615.0,929.0,1319.0,3322,2300,0.6920000000000001,254.0,2,8.0,10.0,103281.0,98140.0,201421.0,793.0,4469,54,406,8132,1682.0,115,49207.0,26,12.9,10.1,391668,48897,12032,54011,67751,182691,9132,72.4
서울중부경찰서,2018,2.0,0.0,1670.0,319.0,0.0,32.0,0.0,199.0,0.0,2.0,22.0,1.0,100.0,48.0,0.0,2.0,9.0,0.0,10.0,33.0,0.0,9.0,0.0,1510.0,4.0,520.0,1390.0,746.0,110.0,3.0,96.0,929.0,839.0,269.0,110.0,235.0,421.0,363.0,529.0,698.0,3395,2271,0.669,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0,1563,14,236,4933,332.0,206,17884.0,7,11.4,9.7,102868,7397,2133,13901,23622,47053,10736,79.15
서울혜화경찰서,2018,4.0,0.0,1222.0,232.0,0.0,36.0,0.0,56.0,0.0,0.0,24.0,3.0,64.0,10.0,0.0,1.0,18.0,0.0,7.0,51.0,0.0,9.0,0.0,990.0,2.0,419.0,1023.0,486.0,65.0,1.0,64.0,535.0,617.0,293.0,64.0,135.0,215.0,240.0,530.0,454.0,3440,2671,0.7759999999999999,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0,784,13,213,4256,42.0,143,40058.0,8,10.6,9.6,75988,6604,2155,12664,22408,43831,9617,72.69999999999997
